Title,Authors,"Year Published","Library Categories",Permalink,Status,"Publication File"
"A Description and History of Vegetable Substances, Used in the Arts, and in Domestic Economy. Timber, Trees, Fruits, Food, Materials of Manufactures Anonymous",,,,https://worldherblibrary.org/catalog/a-description-and-history-of-vegetable-substances-used-in-the-arts-and-in-domestic-economy-timber-trees-fruits-food-materials-of-manufactures-anonymous/,publish,https://api.worldherblibrary.org/pdf/A%20Description%20and%20History%20of%20Vegetable%20Substances%2C%20Used%20in%20the%20Arts%2C%20and%20in%20Domestic%20Economy.%20Timber%2C%20Trees%2C%20Fruits%2C%20Food%2C%20Materials%20of%20Manufactures%20Anonymous%20436p_B00A9UXTNQ.pdf
"A Description of the Genus Cinchona","Aylmer Bourke Lambert",1797,"Medical Botany",https://worldherblibrary.org/catalog/a-description-of-the-genus-cinchona/,publish,https://api.worldherblibrary.org/pdf/A-description-of-the-genus-Cinchona-copy-compressed.pdf
"A Description Of The Genus Pinus","Aylmer Bourke Lambert",1832,"Botanical Illustrations, Flora",https://worldherblibrary.org/catalog/a-description-of-the-genus-pinus/,publish,https://api.worldherblibrary.org/pdf/A-description-of-the-genus-Pinus-vol-1.1-compressed.pdf
"A Description Of The Genus Pinus  Vol. 1","Aylmer Bourke Lambert",1803,"Botanical Illustrations, Flora",https://worldherblibrary.org/catalog/a-description-of-the-genus-pinus-vol-1/,publish,https://api.worldherblibrary.org/pdf/A-description-of-the-genus-Pinus-vol-1-compressed.pdf
"A Description Of The Genus Pinus  Vol. 2","Aylmer Bourke Lambert",1827,"Botanical Illustrations, Flora",https://worldherblibrary.org/catalog/a-description-of-the-genus-pinus-vol-2/,publish,https://api.worldherblibrary.org/pdf/A-description-of-the-genus-Pinus-vol-2-compressed.pdf
"A Descriptive Catalogue of Useful Fiber Plants of the World","Chas. Richards Dodge",1897,"Health, Medicinal Plants",https://worldherblibrary.org/catalog/a-descriptive-catalogue-of-useful-fiber-plants-of-the-world/,publish,https://api.worldherblibrary.org/pdf/Us_department_of_agriculture_a_descriptive_catalogue_of_useful_fiber_plants_of_the_world_P386-compressed.pdf
"A Dictionary  of  english Names of Plants","William Miller",1874,"Medicinal Plants, Names of Plants",https://worldherblibrary.org/catalog/a-dictionary-of-english-names-of-plants-2/,publish,https://api.worldherblibrary.org/pdf/A-dictionary-of-English-names-of-plants-William-Miller-278p_5518771592-compressed.pdf
"A dictionary of Assyrian botany","Reginald Campbell Thompson",1949,,https://worldherblibrary.org/catalog/a-dictionary-of-assyrian-botany/,publish,https://api.worldherblibrary.org/pdf/A_Dictionary_of_Assyrian_Botany_R_Campbell_Thompson_422p-compressed.pdf
"A dictionary of Assyrian botany","Reginald Campbell Thompson",1949,,https://worldherblibrary.org/catalog/a-dictionary-of-assyrian-botany-3/,publish,https://api.worldherblibrary.org/pdf/A_Dictionary_of_Assyrian_Botany_R_Campbell_Thompson_422p.pdf
"A dictionary of English names of plants","William Miller",1884,,https://worldherblibrary.org/catalog/a-dictionary-of-english-names-of-plants/,publish,https://api.worldherblibrary.org/pdf/A-dictionary-of-English-names-of-plants-William-Miller-278p_5518771592-compressed.pdf
"A dictionary of English plant-names by Britten, James","James Britten, F.L.S., and Robert Holland.",1886,"Names of Plants",https://worldherblibrary.org/catalog/a-dictionary-of-english-plant-names-by-britten-james/,publish,https://api.worldherblibrary.org/pdf/A-dictionary-of-English-plant-names-by-Britten-James-compressed.pdf
